"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2006","AQS","360010005","1","30.9","ug/m3 LC","91","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/05/2006","AQS","360010005","1","14.5","ug/m3 LC","56","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/08/2006","AQS","360010005","1","21.1","ug/m3 LC","70","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/11/2006","AQS","360010005","1","20.3","ug/m3 LC","68","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/14/2006","AQS","360010005","1","6.6","ug/m3 LC","28","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/17/2006","AQS","360010005","1","16","ug/m3 LC","59","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/20/2006","AQS","360010005","1","9.2","ug/m3 LC","38","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/23/2006","AQS","360010005","1","14","ug/m3 LC","55","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/26/2006","AQS","360010005","1","4","ug/m3 LC","17","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/29/2006","AQS","360010005","1","30","ug/m3 LC","89","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
