"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2005","AQS","360010005","1","10.5","ug/m3 LC","44","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/04/2005","AQS","360010005","1","9.7","ug/m3 LC","40","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/07/2005","AQS","360010005","1","6.3","ug/m3 LC","26","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/10/2005","AQS","360010005","1","13.2","ug/m3 LC","53","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/13/2005","AQS","360010005","1","14","ug/m3 LC","55","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/16/2005","AQS","360010005","1","17.5","ug/m3 LC","62","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/19/2005","AQS","360010005","1","16.5","ug/m3 LC","60","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/22/2005","AQS","360010005","1","12.2","ug/m3 LC","51","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/25/2005","AQS","360010005","1","11.7","ug/m3 LC","49","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
"01/28/2005","AQS","360010005","1","27","ug/m3 LC","82","ALBANY COUNTY HEALTH DEPT","1","100.0000","88101","PM2.5 - Local Conditions","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.64225","-73.75464"
